left_shop,left_brand,left_productName,left_price,right_shop,right_brand,right_productName,right_price,label,id
Albert Heijn,Starbucks,Nespresso koffiecups espresso decafe,3.49,Carrefour,Starbucks,"by NESPRESSO Decaf Espresso Roast 10 capsules, 57g",3.99,1,1
Colruyt,BONI,multivruchtensap PET,0.381,Albert Heijn,AH,Goudse oud 48+ plakken,3.19,0,2
Carrefour,LU,Parovita Toast Crackers Sesamzaad 330 g,3.17,Colruyt,LU PAROVITA,cracker sesam,2.99,1,3
Albert Heijn,Sultana,Fruitbiscuit naturel,1.59,Colruyt,SULTANA,koeken Naturel fruit,1.39,1,4
Colruyt,NISSIN SOBA,noodles chili yaki. pot,2.19,Albert Heijn,Nissin,Soba chili noodles cup,2.09,1,5
Albert Heijn,Nivea,Men sensitive gezichtscreme,7.69,Colruyt,NIVEA,MEN sensitive cream,7.69,1,6
Colruyt,GALBANI,mozzarella maxi,2.48,Carrefour,Galbani,Mozzarella Maxi 250 g,2.85,1,7
Colruyt,IGLO,kabeljauwf. suprême gepan.,11.45,Albert Heijn,Iglo,Fish cuisine zomerse groente,4.49,0,8
Albert Heijn,Stella Artois,Pils,13.49,Colruyt,STELLA ARTOIS,"pils 5,2%vol",12.99,1,9
Colruyt,FUZE TEA,Black Tea Peach-Hibiscus,0.792,Albert Heijn,Fuze Tea,Peach hibiscus,1.19,1,10
Albert Heijn,Koopmans,Bladerdeeg origineel 10 plakjes,1.19,Colruyt,CÉRÉAL,orange delight zonder suiker,3.15,0,11
Carrefour,Alpro,Vanille Plantaardig Alternatief voor Yoghurt 500 g,2.05,Albert Heijn,Alpro,Haver groeidrink,2.29,0,12
Colruyt,ORAL-B,Pro-Expert flossdraad,4.65,Carrefour,Oral-B,Pro-Expert Premium Floss 40 m,4.75,1,13
Colruyt,DUVEL,"Tripel hop citra 9,5%vol",11.68,Albert Heijn,Duvel,Tripel hop 4-pack,7.79,1,14
Carrefour,Viquel,Omslag A4 - Willekeurige kleur,2.49,Colruyt,MONSTER,Zero Sugar Ultra,1.29,0,15
Albert Heijn,Bertolli,Pastasaus tradizionale,3.29,Colruyt,BONI,zoete maïs blik,0.33,0,16
Colruyt,DETTOL,reiniger katoen fris,4,Albert Heijn,Starbucks,Chilled Classic Caffe Latte Seattle,1.79,0,17
Albert Heijn,AH,Ei salade,1.59,Colruyt,LEDENT,Gekleurd katoentouw,5.65,0,18
Albert Heijn,L'OR,Espresso ristretto koffiecups,4.99,Carrefour,L'OR,Koffie Capsules Espresso Ristretto Intensiteit 11 Nespresso* Compatibel 20 stuks,6.11,1,19
Colruyt,PAMPERS,Harmonie maat 3,9.99,Albert Heijn,Pampers,Harmonie luiers maat 3,9.99,1,20
Colruyt,DANIO,topper rode vruchten/granen,1.79,Albert Heijn,Danio,Vegan stracciatella,3.19,0,21
Colruyt,BONI,sinaasappelsap PET,1.09,Albert Heijn,AH,Rozijn vriendjes,1.39,0,22
Carrefour,Alpro,Greek Style Natuur 400 g,2.35,Albert Heijn,Alpro,Amandeldrink zonder suikers,2.19,0,23
Carrefour,Alpro,Mild & Creamy Vanille 750 g,3.15,Albert Heijn,Alpro,Sojadrink vanille,1.39,0,24
