id,left_brand,left_productName,left_price,right_brand,right_productName,right_price
999999,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,,Gemalen nootmuskaat,0.8500
1000000,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,PORTLAND,Witte gemalen peper,0.6500
1000001,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,PORTLAND,Zwarte gemalen peper,0.6500
1000002,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,MARKUS,Koffie Dessert,4.5900
1000003,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,MARKUS,Koffie Dessert,2.2900
1000004,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,MARKUS,Koffie Dessert cafeïnevrij,4.9900
1000005,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,MARKUS,Koffie Dessert cafeïnevrij,2.4900
1000006,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,MARKUS,Koffie Espresso,3.1500
1000007,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,MARKUS,Koffie Intense,2.1900
1000008,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,MARKUS,Koffie Mild,5.0900
1000009,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,MARKUS,Koffie Moka,2.2900
1000010,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,MARKUS,Koffie Moka,4.5900
1000011,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,MARKUS,Koffie Roodmerk,3.6900
1000012,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,AH Excellent,Mousse koffie,1.2900
1000013,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,AH,Paprika gemalen,0.6900
1000014,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Jacqmotte,Dessert delice gemalen,3.7900
1000015,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,AH,Kaneel gemalen,0.9900
1000016,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,AH,Zwarte peper gemalen,0.7900
1000017,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Lavazza,Qualità oro gemalen koffie,4.4900
1000018,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Douwe Egberts,Dessert gemalen koffie,3.2900
1000019,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Verstegen,Strooier koriander gemalen,2.2900
1000020,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Douwe Egberts,Mildou gemalen koffie,3.6900
1000021,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Rombouts,Goudmerk gemalen,3.7900
1000022,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Süper kalite,"Türk kahvesi, Turkse koffie",3.9900
1000023,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Verstegen,Strooier gemalen kardemom,2.2900
1000024,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Modifast,Drinkmaaltijd koffie,2.3900
