left_shop,left_brand,left_productName,left_price,rightShop,right_brand,rightName,rightPrice,label,productUrlLeft,productUrlRight,id
Carrefour,,Drinkfles Squeeze 460 ml - Willekeurig,5.09,Delhaize,Sistema,Drinkfles | 460ml,4.89,1,https://drive.carrefour.be/nl//Niet-voeding/Boekhandel-%26-Schrijfwaren/Boekentassen-en-pennenzakken/Lunchdozen-en-lunchzakken/Sistema%7CDrinkfles-Squeeze-460-ml---Willekeurig/p/05350055,https://www.delhaize.be/nl-be/shop/Non-food/Keukengerei-en-accessoires/Plastic-opbergers-en-accessoires/Drinkfles-460ml/p/S2016121403680880000,1
Carrefour,,Drinkfles Squeeze 460 ml - Willekeurig,5.09,Delhaize,Wilkinson Sword,Wegwerpscheermesjes | Extra 3 | Essentials | 8pack,6.29,0,https://drive.carrefour.be/nl//Niet-voeding/Boekhandel-%26-Schrijfwaren/Boekentassen-en-pennenzakken/Lunchdozen-en-lunchzakken/Sistema%7CDrinkfles-Squeeze-460-ml---Willekeurig/p/05350055,https://www.delhaize.be/nl-be/shop/Hygiene-en-verzorging/Gelaatsverzorging/Scheren/Scheermessen-en-mesjes/Wegwerpscheermesjes-Extra-3-Essentials-8pack/p/S2018041000047650000,2
Carrefour,,Droge Voeding Whiskas Gevulde 1+ Jaar Brokjes Kip 3.8 kg,9.99,Delhaize,Delhaize,Knolselder | Bio,2.19,0,https://drive.carrefour.be/nl//Dieren/Katten/Kattenvoeding/Droogvoer/Whiskas%7CDroge-Voeding-Gevulde-1%2B-Jaar-Brokjes-Kip-3-8-kg/p/05673038,https://www.delhaize.be/nl-be/shop/Verse-groenten-en-fruit/Verse-groenten/Prei-selder-en-soepgroenten/Selder/Knolselder-Bio/p/F2021031000078120000,3
Carrefour,,Droge Voeding Whiskas Gevulde 1+ Jaar Brokjes Kip 3.8 kg,9.99,Delhaize,Whiskas,Kattenvoeding | Kip,9.89,1,https://drive.carrefour.be/nl//Dieren/Katten/Kattenvoeding/Droogvoer/Whiskas%7CDroge-Voeding-Gevulde-1%2B-Jaar-Brokjes-Kip-3-8-kg/p/05673038,https://www.delhaize.be/nl-be/shop/Huisdieren/Katten/Droogvoer-kat/Kattenvoeding-Kip/p/S2016020403624430000,4
Carrefour,,Droge Voeding Whiskas Onweerstaanbare Gevulde 1+ Jaar Kattenvoeding Brokjes met Kip 1.9 kg,5.45,Delhaize,Delhaize,Sjalotten | Verpakt,3.99,0,https://drive.carrefour.be/nl//Dieren/Katten/Kattenvoeding/Droogvoer/Whiskas%7C1%2B-Jaar-Brokjes-met-Kip-1-9-kg/p/05923888,https://www.delhaize.be/nl-be/shop/Verse-groenten-en-fruit/Verse-groenten/Look-en-ajuin/Sjalotten/Sjalotten-Verpakt/p/F2015060500308710000,5
Carrefour,,Droge Voeding Whiskas Onweerstaanbare Gevulde 1+ Jaar Kattenvoeding Brokjes met Kip 1.9 kg,5.45,Delhaize,Whiskas,Kattenvoeding | Kip,5.49,1,https://drive.carrefour.be/nl//Dieren/Katten/Kattenvoeding/Droogvoer/Whiskas%7C1%2B-Jaar-Brokjes-met-Kip-1-9-kg/p/05923888,https://www.delhaize.be/nl-be/shop/Huisdieren/Katten/Droogvoer-kat/Kattenvoeding-Kip/p/S2017070604159660000,6
Carrefour,,Droge Voeding Whiskas Onweerstaanbare Gevulde 7+ Jaar Kattenvoeding Brokjes met Kip 1.9 kg,5.45,Delhaize,Delhaize,Bloemige Aardappelen | Primeur,2.79,0,https://drive.carrefour.be/nl//Dieren/Katten/Kattenvoeding/Droogvoer/Whiskas%7C7%2B-Jaar-Brokjes-met-Kip-1-9-kg/p/05923890,https://www.delhaize.be/nl-be/shop/Verse-groenten-en-fruit/Verse-groenten/Aardappelen/Bloemige-aardappelen/Bloemige-Aardappelen-Primeur/p/F1986053100381300000,7
Carrefour,,Droge Voeding Whiskas Onweerstaanbare Gevulde 7+ Jaar Kattenvoeding Brokjes met Kip 1.9 kg,5.45,Delhaize,Whiskas,Kattenvoeding | Kip,5.55,1,https://drive.carrefour.be/nl//Dieren/Katten/Kattenvoeding/Droogvoer/Whiskas%7C7%2B-Jaar-Brokjes-met-Kip-1-9-kg/p/05923890,https://www.delhaize.be/nl-be/shop/Huisdieren/Katten/Droogvoer-kat/Kattenvoeding-Kip/p/S2017070604159680000,8
Carrefour,,Echte Luikse Siroop 450 g,2.19,Delhaize,Delhaize,Cookies | Zachte kern,1.29,0,https://drive.carrefour.be/nl//Kruidenierswaren/Ontbijt/Broodbeleg/Siroop/Du-Vrai-Sirop-de-Li%C3%A8ge%7CEchte-Luikse-Siroop-450-g/p/00142357,https://www.delhaize.be/nl-be/shop/Zoete-kruidenierswaren/Koekjes/Droge-koekjes/Chocolade/Cookies-Zachte-kern/p/S2013062600052850000,9
Carrefour,,Echte Luikse Siroop 450 g,2.19,Delhaize,Meurens,Luikse siroop,2.19,1,https://drive.carrefour.be/nl//Kruidenierswaren/Ontbijt/Broodbeleg/Siroop/Du-Vrai-Sirop-de-Li%C3%A8ge%7CEchte-Luikse-Siroop-450-g/p/00142357,https://www.delhaize.be/nl-be/shop/Zoete-kruidenierswaren/Ontbijt/Broodbeleg/Luikse-siroop/p/S1973120500092460000,10
